preds	count	median	std
['SP', 'IT']	2051	492.0	932.7413702776993
['SP', 'NA', 'DTP']	2	743.0	31.11269837220809
['SP', 'NA', 'IN', 'DTP']	3	889.0	321.74368680674996
['SP', 'NA', 'IN', 'IT', 'DTP']	2	343.5	89.80256121069154
['SP', 'NA', 'IN', 'IT']	4	326.5	169.9379788824931
['SP', 'NA', 'IN']	4	500.0	294.5950610583959
['SP', 'NA', 'IP']	1	336.0	
['SP', 'NA', 'IT', 'DTP']	2	596.5	68.58935777509511
['SP', 'NA', 'IT', 'NB']	124	548.5	788.51465665235
['SP', 'NA', 'IT', 'NE']	11	518.0	497.6972610295978
['SP', 'NA', 'IT', 'SR']	324	448.5	510.3122688435167
['SP', 'NA', 'IT']	3119	532.0	841.1243634866237
['SP', 'NA', 'NB']	39	564.0	702.8132547022398
['SP', 'NA', 'NE']	49	421.0	288.8434832623531
['SP', 'NA', 'SR']	152	462.5	960.974282115327
['SP', 'NA']	330	510.5	775.9420723605635
['SP', 'OP', 'IT', 'RV']	2	603.5	248.19448019647817
['SP', 'OP', 'IT']	5	406.0	144.49671276537745
['SP', 'OP', 'RS']	1	301.0	
['SP', 'OP', 'RV']	3	655.0	478.1153975070593
['SP', 'OP']	15	708.0	2382.0799094988597
['SP']	195	521.0	8028.159531764406
['SR']	18	335.5	172.74240333078828
[]	7625	491.0	1738.2629230707885
